pfs_visit_id,arm,sps_module_id,pfs_design_id,time_exp_start
84413,b,1,3940907130413629120,2022-12-29 19:15:12.047429
84414,r,1,3940907130413629120,2022-12-29 19:36:08.630144
84414,b,1,3940907130413629120,2022-12-29 19:36:08.630144
84415,r,1,3940907130413629120,2022-12-29 19:57:04.870643
84415,b,1,3940907130413629120,2022-12-29 19:57:04.870643
84416,r,1,3940907130413629120,2022-12-29 20:18:01.225652
84416,b,1,3940907130413629120,2022-12-29 20:18:01.225652
84417,r,1,3940907130413629120,2022-12-29 20:38:57.86713
84417,b,1,3940907130413629120,2022-12-29 20:38:57.86713
84418,r,1,3940907130413629120,2022-12-29 20:59:53.919647
84418,b,1,3940907130413629120,2022-12-29 20:59:53.919647
84419,r,1,3940907130413629120,2022-12-29 21:20:50.409114
84419,b,1,3940907130413629120,2022-12-29 21:20:50.409114
84420,r,1,3940907130413629120,2022-12-29 21:41:46.490048
84420,b,1,3940907130413629120,2022-12-29 21:41:46.490048
84421,r,1,3940907130413629120,2022-12-29 22:02:42.929127
84421,b,1,3940907130413629120,2022-12-29 22:02:42.929127
84422,r,1,3940907130413629120,2022-12-29 22:23:39.599203
84422,b,1,3940907130413629120,2022-12-29 22:23:39.599203
84423,r,1,3940907130413629120,2022-12-29 22:44:36.100644
84423,b,1,3940907130413629120,2022-12-29 22:44:36.100644
84424,r,1,3940907130413629120,2022-12-29 23:05:32.563596
84424,b,1,3940907130413629120,2022-12-29 23:05:32.563596
84425,r,1,3940907130413629120,2022-12-29 23:26:28.974838
84425,b,1,3940907130413629120,2022-12-29 23:26:28.974838
84426,r,1,3940907130413629120,2022-12-29 23:47:25.481186
84426,b,1,3940907130413629120,2022-12-29 23:47:25.481186
84427,r,1,3940907130413629120,2022-12-30 00:08:21.791456
84427,b,1,3940907130413629120,2022-12-30 00:08:21.791456
84428,r,1,3940907130413629120,2022-12-30 00:29:18.255498
84428,b,1,3940907130413629120,2022-12-30 00:29:18.255498
84429,r,1,3940907130413629120,2022-12-30 06:42:00.03942
84429,b,1,3940907130413629120,2022-12-30 06:42:00.03942
84430,r,1,3940907130413629120,2022-12-30 18:35:45.570956
84430,b,1,3940907130413629120,2022-12-30 18:35:45.570956
84431,r,1,3940907130413629120,2022-12-30 18:37:21.779452
84431,b,1,3940907130413629120,2022-12-30 18:37:21.779452
84432,r,1,3940907130413629120,2022-12-30 18:58:18.447236
84432,b,1,3940907130413629120,2022-12-30 18:58:18.447236
84433,r,1,3940907130413629120,2022-12-30 19:19:14.89819
84433,b,1,3940907130413629120,2022-12-30 19:19:14.89819
84434,r,1,3940907130413629120,2022-12-30 19:40:11.342666
84434,b,1,3940907130413629120,2022-12-30 19:40:11.342666
84435,r,1,3940907130413629120,2022-12-30 20:01:07.896219
84435,b,1,3940907130413629120,2022-12-30 20:01:07.896219
