visit,taiObs,dataType,scale,rate
34393,2022-04-26T17:53:45.813,COMPARISON,173.4,3.467
36125,2022-05-17T19:57:29.580,COMPARISON,17.6,2.203
34321,2022-04-26T14:32:04.201,COMPARISON,7.3,2.429
34455,2022-04-26T21:22:48.307,COMPARISON,29.1,5.809
35755,2022-05-11T08:33:29.472,FLAT,4.3,2.156
35981,2022-05-17T12:34:03.845,COMPARISON,6.3,2.108
36198,2022-05-17T22:39:09.796,DARK,1012.6,3.375
35424,2022-05-02T16:15:08.666,COMPARISON,0.0,0.005
35498,2022-05-06T10:36:41.110,COMPARISON,0.2,0.101
35849,2022-05-14T12:23:44.631,DARK,1108.4,3.695
34248,2022-04-25T17:55:23.758,DARK,1041.5,3.472
36564,2022-05-18T14:38:29.304,COMPARISON,27.4,3.419
36636,2022-05-18T17:19:14.760,COMPARISON,29.4,3.929
36480,2022-05-18T13:07:02.504,FLAT,9.4,4.685
36388,2022-05-18T10:23:26.007,COMPARISON,6.7,3.337
34394,2022-04-26T17:55:31.578,COMPARISON,175.0,3.5
36126,2022-05-17T19:58:32.670,COMPARISON,2.2,2.219
34322,2022-04-26T14:33:06.799,COMPARISON,7.3,2.44
34456,2022-04-26T21:23:49.100,COMPARISON,28.9,5.781
35776,2022-05-12T12:25:16.384,COMPARISON,11.3,0.378
35982,2022-05-17T12:35:06.123,COMPARISON,6.6,2.192
36199,2022-05-17T22:45:06.452,DARK,1237.2,4.124
35499,2022-05-06T10:37:39.931,COMPARISON,1.0,0.258
35850,2022-05-14T12:29:41.078,DARK,1237.9,4.126
34249,2022-04-25T18:01:19.624,DARK,1099.0,3.663
36565,2022-05-18T14:39:32.299,COMPARISON,3.9,3.861
36637,2022-05-18T17:20:19.830,COMPARISON,29.2,3.902
36481,2022-05-18T13:08:03.601,FLAT,9.5,4.762
36389,2022-05-18T10:24:27.186,COMPARISON,6.4,3.21
34395,2022-04-26T17:57:17.345,COMPARISON,175.3,3.505
36127,2022-05-17T19:59:29.959,COMPARISON,4.4,2.184
34323,2022-04-26T14:34:08.802,COMPARISON,7.3,2.44
34457,2022-04-26T21:24:49.994,COMPARISON,29.2,5.843
35777,2022-05-12T12:26:57.589,COMPARISON,11.5,0.384
35983,2022-05-17T12:36:11.201,COMPARISON,6.7,2.227
35426,2022-05-02T16:17:04.408,COMPARISON,0.0,0.004
35500,2022-05-06T10:38:57.747,COMPARISON,18.1,0.452
36566,2022-05-18T14:40:29.589,COMPARISON,6.8,3.386
34250,2022-04-25T18:07:15.755,DARK,1054.0,3.513
36200,2022-05-17T22:51:02.827,DARK,1044.3,3.481
36638,2022-05-18T17:21:24.922,COMPARISON,28.1,3.75
36482,2022-05-18T13:09:04.496,FLAT,9.4,4.672
35851,2022-05-14T13:07:18.436,COMPARISON,918.7,5.104
36390,2022-05-18T10:25:29.180,COMPARISON,6.9,3.455
34396,2022-04-26T17:59:03.017,COMPARISON,176.2,3.523
36128,2022-05-17T20:00:30.745,COMPARISON,18.5,2.313
34324,2022-04-26T14:35:10.697,COMPARISON,7.4,2.453
34458,2022-04-26T21:25:50.797,COMPARISON,29.0,5.794
35778,2022-05-12T12:32:24.523,COMPARISON,11.6,0.386
35984,2022-05-17T12:37:13.678,COMPARISON,6.6,2.203
36567,2022-05-18T14:41:30.365,COMPARISON,26.4,3.3
34251,2022-04-25T18:13:11.617,DARK,1064.9,3.55
36201,2022-05-17T22:56:59.172,DARK,1146.2,3.821
